SampleID_old,StationCode,COMID,E,OE,pMMI,CSCI,SampleID_old.1
113PS0084_8.18.09_1,113PS0084,2663891,13.94943992,1.057390123,1.017204548,1.037297336,113PS0084_8.18.09_1
113PS0100_8.25.09_1,113PS0100,2664095,13.28588726,0.884397088,0.811312701,0.847854895,113PS0100_8.25.09_1
113PS0120_9.14.10_1,113PS0120,2664653,12.67775351,0.832166361,0.710958278,0.77156232,113PS0120_9.14.10_1
113PS0132_9.15.10_1,113PS0132,2662241,13.42908007,0.737206119,0.782606544,0.759906332,113PS0132_9.15.10_1
113PS0168_7.6.11_1,113PS0168,8281673,13.21470073,0.80213697,1.134270478,0.968203724,113PS0168_7.6.11_1
113PS0196_8.1.12_1,113PS0196,2662251,13.98924514,0.857801824,0.982464532,0.920133178,113PS0196_8.1.12_1
113PS0216_9.3.13_1,113PS0216,8281271,17.02058783,0.893036137,0.958372713,0.925704425,113PS0216_9.3.13_1
113PS0232_9.4.13_1,113PS0232,8281015,13.152325,0.488506785,0.497008462,0.492757623,113PS0232_9.4.13_1
113PS0268_6.11.14_1,113PS0268,2664619,14.28138794,0.980296877,1.011966891,0.996131884,113PS0268_6.11.14_1
113RG8046_8.19.10_1,113RG8046,8281847,14.1376153,0.930142724,0.787743881,0.858943302,113RG8046_8.19.10_1
114AU7778_6.21.10_1,114AU7778,8271487,16.87242082,1.093500464,0.903074358,0.998287411,114AU7778_6.21.10_1
114CE0131_7.31.12_1,114CE0131,8270719,15.38350126,0.829893433,0.803052488,0.81647296,114CE0131_7.31.12_1
114CR0903_9.25.13_1,114CR0903,8270711,14.58794087,0.603237982,0.586608762,0.594923372,114CR0903_9.25.13_1
114FCA199_8.1.13_1,114FCA199,8271877,13.67156407,0.897848991,0.790400983,0.844124987,114FCA199_8.1.13_1
114MA2364_7.6.10_1,114MA2364,8272313,11.9886464,1.082273975,0.952037663,1.017155819,114MA2364_7.6.10_1
114PS0088_8.19.09_1,114PS0088,8270989,14.45718116,0.760867549,0.624955089,0.692911319,114PS0088_8.19.09_1
114PS0145_6.20.11_1,114PS0145,8270595,16.95795363,0.964149352,0.93273268,0.948441016,114PS0145_6.20.11_1
114PS0149_7.10.12_1,114PS0149,948010117,14.98610229,0.51714581,0.588173189,0.552659499,114PS0149_7.10.12_1
114PS0152_8.18.11_1,114PS0152,8272771,13.5309328,0.796323517,0.741695857,0.769009687,114PS0152_8.18.11_1
114PS0209_6.10.13_1,114PS0209,8271511,13.85384948,0.591893251,0.666385134,0.629139192,114PS0209_6.10.13_1
114PS0229_6.4.13_1,114PS0229,8272309,12.0677915,0.741643573,0.937025883,0.839334728,114PS0229_6.4.13_1
114WE0614_7.9.12_1,114WE0614,8271033,9.881591512,0.927229181,0.903745253,0.915487217,114WE0614_7.9.12_1
114WER118_8.20.08_1,114WER118,8270945,15.91088272,0.931228451,0.886134472,0.908681461,114WER118_8.20.08_1
115EBAG01_7.1.10_1,115EBAG01,3879996,11.16299457,0.882379718,0.818786004,0.850582861,115EBAG01_7.1.10_1
115SALG01_6.30.10_1,115SALG01,3879994,13.75588989,0.766944202,0.534567364,0.650755783,115SALG01_6.30.10_1
201AHO350_6.20.12_1,201AHO350,5330515,15.71907449,1.001967388,1.090253903,1.046110645,201AHO350_6.20.12_1
201CHE300_6.18.12_1,201CHE300,5329569,12.38131481,1.183234594,1.001004113,1.092119354,201CHE300_6.18.12_1
201LAG190_10.6.08_1,201LAG190,5329835,11.33216841,1.042165945,0.990326201,1.016246073,201LAG190_10.6.08_1
201LAG335_7.15.09_1,201LAG335,5330439,16.13670612,0.92645921,0.981723185,0.954091197,201LAG335_7.15.09_1
201LAG380_7.14.09_1,201LAG380,5330451,14.42945043,1.16948321,1.037846267,1.103664738,201LAG380_7.14.09_1
201MRS020_9.13.10_1,201MRS020,5330517,19.35273287,0.975314449,1.012532065,0.993923257,201MRS020_9.13.10_1
201RDW080_6.2.10_1,201RDW080,5330719,15.91665441,1.012416636,0.911573233,0.961994934,201RDW080_6.2.10_1
202BUT030_6.29.10_1,202BUT030,17688195,15.92089309,1.103895359,0.984149044,1.044022202,202BUT030_6.29.10_1
