StationID,New_Lat,New_Long
000CAT148,39.0752298,-119.89944
000CAT228,39.0730718,-119.92005
102PS0139,41.9959481,-122.9597
103CDCHHR,41.7888953,-124.07784
103FC1106,41.93406515,-124.1081494
103FCA168,41.6496191,-124.09118
103KLCMSR,41.8554564,-123.85215
103PS0217,41.68690641,-124.0834599
103RDCBCC,41.9548095,-124.0625
103WER026,41.8499865,-124.03322
103WER029,41.809766,-124.11209
103WER030,41.8564882,-123.91194
105BVCAGC,41.6120215,-123.29225
105CE0329,41.3081753,-123.03392
105CLCATC,41.7344726,-123.54826
105CR0901,41.3180889,-123.52799
105CR0913,41.8428251,-122.89869
105DLCDCC,41.5728015,-123.54469
105FC1116,41.91258293,-120.9212504
105FC1120,41.55364143,-121.9246852
105FC1297,41.32860037,-123.4199184
105FCA116,41.3178155,-123.04812
105FS0416,41.614111,-123.28187
105FS0425,41.3582685,-123.07451
105FS0428,41.4410528,-123.35829
105NWC151,41.91713452,-120.8810529
105PS0028,41.7509508,-122.00312
105PS0043,41.7293919,-123.23671
105PS0067,41.139249,-123.13937
105PS0069,41.2982463,-123.94255
105PS0083,41.364694,-123.18717
105PS0090,41.0800405,-123.02912
105PS0092,41.5768499,-121.9255
105PS0097,41.7415719,-123.35549
105PS0107,41.7137526,-123.01732
105PS0129,41.9237684,-123.46483
105PS0149,41.240996,-123.65543
105PS0154,41.0981249,-123.0734
105PS0188,41.7185053,-122.34972
105PS0193,41.8294124,-123.38486
105PS0195,41.1888599,-123.07484
105PS0211,41.42695936,-122.9216991
105PS0231,41.60811142,-122.456988
105PS0259,41.1406891,-123.1727316
105PS0267,41.88067552,-123.1299006
105PS0276,41.9900047,-120.81078
105PS0468,41.8941492,-121.02359
105PS0540,41.6200195,-122.06924
105PS0660,41.9156453,-120.88859
105PS1148,41.8659071,-122.4641
105PS1404,41.92436523,-122.3888787
105PS1492,41.86225988,-120.9951605
105TMCACC,41.7369287,-123.54872
105WE0598,41.2443927,-123.32933
105WLC135,41.89911096,-121.0443755
105WLCABC,41.4422517,-123.35041
106FC1183,40.63704093,-122.7464956
106FC1313,40.87031945,-122.800388
106FCA036,40.8012662,-122.92964
106FS0040,40.1691243,-123.02515
106HLCACC,41.0170233,-123.59492
106MNCAHC,40.6380533,-123.322
106PS0022,40.6725933,-123.52155
106PS0051,41.2473451,-122.6416
106PS0078,40.5543134,-123.13761
106PS0106,40.8118785,-123.11906
106PS0115,41.1729013,-122.86959
106PS0122,41.1122723,-122.86482
106PS0124,40.1705465,-123.02867
106PS0142,40.458489,-123.16704
106PS0166,41.0441162,-123.6117
106PS0173,40.3778176,-123.29927
106PS0186,40.3062027,-123.12127
106PTCAHC,40.4951813,-123.03531
106WE0505,40.8623465,-122.90302
106WE1079,41.1348577,-122.80509
106WER011,40.9358845,-123.15486
106WER016,40.4896507,-123.02946
107GWCAPC,41.3679359,-124.02424
107LLM101,41.3269745,-124.02387
107PS0021,41.3241209,-124.00796
107RWCBHW,41.1966306,-123.99642
107WER092,41.3999561,-124.0579
108PS0197,41.1758895,-124.08516
109PS0162,40.9052103,-124.04158
110ECSLSF,40.6732014,-124.09629
110FCA102,40.7252711,-124.11628
110PS0114,40.68793,-124.05051
110SMCATH,40.6386718,-124.10349
111BBRBCC,39.6995084,-122.92445
111BGCAER,40.0223251,-123.06148
111CBCAER,39.5290482,-122.84833
111CE0569,40.3467571,-123.99247
111ERATRC,39.5522234,-122.86134
111FC1098,39.7573889,-123.7248396
111FCA207,40.1071607,-123.79689
111FS0001,39.3270926,-122.83111
111FS0007,39.4712271,-122.83378
111FS0008,39.3192973,-122.8454
111HSCAER,39.5250339,-122.85276
111PAL105,40.3497286,-123.96396
111PS0008,39.5216399,-123.3977
111PS0013,40.4064142,-123.84924
111PS0057,40.4695442,-123.92922
111PS0095,39.7889376,-123.73564
111PS0110,39.3514196,-122.87621
111PS0121,40.2256824,-123.84553
111PS0144,39.9001796,-123.01714
111PS0159,39.7998206,-123.65584
111PS0160,39.44612,-123.02926
111PS0169,40.5829325,-123.98764
111PS0178,40.6800425,-123.95064
111PS0204,39.2769337,-122.86581
111PS0237,40.33346505,-123.4650096
111RSCAER,39.9877222,-123.05062
111TGCAER,39.3956853,-122.86374
111WE0816,39.5874056,-122.91817
111WE1050,39.7114702,-122.84193
111WE1071,39.7005337,-122.81255
111WER003,39.5381653,-122.8613
111WER008,39.4936568,-122.86392
111WER159,39.4293679,-122.84518
112PS0157,40.2318936,-124.11228
113GAR010,38.8373627,-123.54676
113GAR011,38.891405,-123.4558
113GAR015,38.8931351,-123.50899
113GAR030,38.8701823,-123.56664
113GAR038,38.8391981,-123.53473
113GAR046,38.8557845,-123.56358
113GAR061,38.8839311,-123.59204
113GAR062,38.8596418,-123.54839
113GAR084,38.9265675,-123.62855
113GAR087,38.9081323,-123.48967
113GAR089,38.9081704,-123.35105
113GAR094,38.8628504,-123.56834
113GAR105,38.8995896,-123.39059
113GAR110,38.8552976,-123.56028
113GAR112,38.9248844,-123.49051
113GAR118,38.8426575,-123.54952
113GAR178,38.8749038,-123.49378
113GAR244,38.9315862,-123.59243
113PS0012,39.2577361,-123.50874
113PS0076,38.9363703,-123.50043
113PS0084,39.4060874,-123.71299
113PS0100,39.3182046,-123.63071
113PS0120,39.1507359,-123.63595
113PS0132,39.5566601,-123.72353
113PS0168,38.7536289,-123.40457
113PS0196,39.5439544,-123.6553
113PS0216,38.51536858,-123.2422148
113PS0232,38.66792741,-123.3099517
113PS0268,39.15614643,-123.4592251
113RG8046,38.4757678,-123.15212
114AU7778,38.5872353,-123.11801
114CE0131,38.7908601,-123.19624
114CR0903,38.81626966,-123.0111917
114FCA199,38.8296335,-122.90837
114MA2364,38.6305657,-122.76807
114PS0088,38.5572989,-123.09358
114PS0145,38.8936121,-123.07017
114PS0149,38.4340999,-122.67607
114PS0152,38.4634283,-123.00882
114PS0209,38.78600112,-123.155201
114PS0229,38.61538062,-122.7839078
114WE0614,38.5391692,-123.07191
114WER118,38.5920087,-123.07044
115EBAG01,38.3461333,-122.91535
115SALG01,38.3434928,-122.95896
201AHO350,37.9447607,-122.74297
201CHE300,38.0394499,-122.7418
201LAG190,38.0295397,-122.73625
201LAG335,37.9917933,-122.66195
201LAG380,37.9674509,-122.65414
201MRS020,37.9196808,-122.66952
201RDW080,37.8769478,-122.5811
202BUT030,37.224863,-122.33258
202BUT040,37.2413177,-122.31696
202BUT050,37.2092356,-122.33267
202BUT480,37.213486,-122.31451
202BUT600,37.2152307,-122.30854
202BUT850,37.2266,-122.2412
202DRY010,37.3592,-122.3912
202LAH950,37.3887289,-122.28286
202MIC150,37.452,-122.392
202PES162,37.2691585,-122.26407
202PES168,37.2617,-122.2408
202PS0246,37.46254652,-122.374612
202R00024,37.3247,-122.2467
202R00072,37.5148391,-122.38632
202R00087,37.6447,-122.4801
202R00248,37.3203,-122.3398
202R00280,37.2935,-122.2189
202R00284,37.5052,-122.4872
202R00908,37.6113,-122.4934
202SPE090,37.5750082,-122.46419
202TUN600,37.391,-122.368
203PS0070,37.990506,-122.59329
203R00983,37.8751,-122.2366
204AHOACR,37.4615831,-121.76902
204ALA525,37.4961869,-121.76068
204ALP040,37.696382,-121.81633
204ARH090,37.451,-121.755
204IND200,37.5620443,-121.79842
204PS0038,37.7269685,-122.17257
204PS0094,37.6893169,-121.87579
204PS0102,37.69796,-122.02884
204PS0118,37.529357,-122.35871
204R00047,37.6883,-122.0726
204R00063,37.7966,-122.1997
204R00068,37.6991,-121.8089
204R00084,37.7009,-121.9255
204R00100,37.6826,-121.8961
204R00180,37.5731,-122.3693
204R00189,37.3209,-121.6635
204R00191,37.6658,-121.8784
204R00200,37.5233,-122.3409
204R00232,37.4635,-122.2515
204R00244,37.4715,-122.2453
204R00303,37.6842,-122.0819
204R00319,37.7994,-122.2182
204R00327,37.6201,-122.1007
204R00334,37.6466,-121.7881
204R00340,37.7022,-121.9207
204R00356,37.6687,-121.9093
204R00367,37.6596,-122.0417
204R00383,37.6591,-122.1368
204R00391,37.5868,-122.0236
204R00436,37.5817,-122.3707
204R00447,37.6583,-121.861
204R00455,37.6468,-122.0393
204R00473,37.6705,-121.7611
204R00520,37.5122,-122.2912
204R00583,37.6191,-122.0593
204R00590,37.6421,-121.7818
204R00596,37.7006,-121.9033
204R00623,37.6946,-122.0448
204R00639,37.6814,-122.1443
204R00647,37.6097,-122.0175
204R00680,37.438,-122.2413
204R00724,37.6961,-121.9454
204R00751,37.8041,-122.1613
204R00807,37.6523,-122.422
204R00852,37.7197,-121.9134
204R00884,37.5778,-122.3851
204R01316,37.6846,-121.9154
204R01471,37.6922,-121.8689
204SIN300,37.6405005,-121.92468
204VAL400,37.471,-121.667
205AAG075,37.3904,-121.7835
205AAG375,37.36,-121.737
205AAG400,37.371877,-121.73258
205COY140,37.3991061,-121.79693
205COY585,37.09,-121.4699
205COY610,37.1177117,-121.48092
205COY615,37.121,-121.48
205COY850,37.1824044,-121.50666
205COY853,37.178,-121.497
205COY900,37.1753765,-121.47731
205COY930,37.1898,-121.4689
205CYCAHH,37.1014602,-121.47223
205CYCBBC,37.1262177,-121.48118
205GCAxxx,37.1815326,-121.87305
205LGA700,37.1195171,-121.90274
205PS0045,37.2939459,-121.933
205PS0074,37.4542875,-122.1336
205PS0106,37.3843238,-121.9077
205PS0109,37.2933977,-121.88042
205PS0138,37.4105192,-122.1385
205PS0157,37.3014053,-121.83516
205PS0170,37.3619837,-121.87388
205PS0173,37.2389732,-121.88488
205PS0202,37.3455956,-122.0888769
205PS0221,37.26711533,-121.7960653
205PS0234,37.39338731,-121.8142016
205R00021,37.2549286,-121.57799
205R00035,37.3815,-121.8567
205R00042,37.2458,-121.7702
205R00058,37.2517,-122.0841
205R00067,37.3769,-121.9686
205R00088,37.372,-122.2196
205R00090,37.2881,-121.8792
205R00099,37.3077,-122.0217
205R00110,37.5027,-121.9123
205R00115,37.4059,-122.0691
