id,site_type,ASCI
205PS0173_6.20.12_2,Stressed,0.777558331
205PS0202_5.22.13_1,Stressed,0.925695196
205PS0202_7.17.13_1,Stressed,0.676673486
205PS0221_5.20.13_1,Stressed,0.824552256
205PS0234_5.22.13_1,Intermediate,0.756733311
205R00021_5.16.12_1,Reference,0.98128502
205R00026_5.14.12_1,Stressed,0.756481937
205R00035_5.24.12_1,Stressed,0.701604644
205R00035_5.24.12_2,Stressed,0.675297684
205R00042_5.21.12_1,Stressed,1.022323728
205R00058_5.15.12_1,NA,0.81934858
205R00067_6.3.12_1,Stressed,0.749734269
205R00088_6.4.12_1,Stressed,0.822071292
205R00090_5.23.12_1,Stressed,0.467028206
205R00099_5.17.12_1,Stressed,0.76935019
205R00110_6.18.12_1,Intermediate,0.911032147
205R00115_6.5.12_1,Stressed,0.854681918
205R00131_6.3.12_1,Stressed,0.59855109
205R00154_5.22.12_1,Stressed,0.616772298
205R00168_6.4.12_1,Stressed,0.854814905
205R00170_5.29.13_1,NA,0.739680027
205R00174_4.23.13_1,Stressed,0.687173076
205R00182_5.7.13_1,Reference,0.816661347
205R00218_5.23.12_1,Stressed,0.944015448
205R00227_6.5.12_1,Stressed,0.497018585
205R00234_5.15.12_1,Stressed,0.760580884
205R00241_5.21.12_1,Stressed,0.80720688
205R00259_6.14.12_1,Stressed,0.947113779
205R00282_5.22.12_1,Stressed,0.881114701
205R00291_6.13.12_1,Stressed,0.837217461
205R00346_6.14.12_1,Stressed,0.926209916
205R00346_6.14.12_2,Stressed,0.969467717
205R00355_6.13.12_1,Stressed,0.825137054
205R00374_6.3.13_1,Intermediate,0.805054357
205R00387_6.6.13_1,Stressed,0.726160363
205R00419_6.11.13_1,Stressed,0.817096403
205R00430_6.5.12_1,Stressed,0.666988929
205R00451_6.5.13_1,Stressed,0.789369242
205R00474_5.9.13_1,Stressed,0.894928606
205R00535_6.20.12_1,Stressed,0.761252724
205R00535_6.20.12_2,Stressed,0.706267723
205R00538_5.8.13_1,Stressed,0.794979561
205R00547_6.4.13_1,Stressed,0.339574257
205R00554_5.29.13_1,Stressed,0.73114512
205R00586_6.10.13_1,Stressed,0.854279003
205R00602_6.3.13_1,Stressed,0.886658213
205R00627_6.4.13_1,Stressed,0.474776668
205R00666_5.9.13_1,Stressed,0.864985674
205R00686_4.24.13_1,Stressed,0.680887796
205R00707_6.5.13_1,Stressed,0.825906959
205R00707_6.5.13_2,Stressed,0.755937958
205R00714_6.10.13_1,Stressed,0.917639543
205R00739_6.11.13_1,Stressed,0.350727411
205R00771_6.6.13_1,Stressed,0.945564015
205R00787_6.12.13_1,NA,0.910169843
205R00787_6.12.13_2,NA,0.799258512
205R00872_5.27.13_1,Stressed,0.627249918
205R00878_4.24.13_1,Stressed,0.504953369
205R00984_5.27.13_1,Stressed,0.81583881
205R01134_5.20.13_1,Stressed,0.76553991
205R01198_5.20.13_1,Stressed,0.814314574
205R01390_5.23.13_1,Stressed,0.714408793
205SAR057_5.13.09_1,Stressed,0.947328021
205SAR060_5.13.09_1,Stressed,0.907603115
205SAR070_5.14.09_1,Stressed,1.106591559
205SAR080_5.14.09_1,Stressed,0.881119884
205SFC880_6.19.12_1,Reference,1.057718522
205STE110_7.13.09_1,Intermediate,0.981300682
205WUN450_6.11.12_1,Reference,0.922062465
205WUN550_5.6.13_1,Reference,0.823801126
206BRC020_6.27.12_1,Reference,0.798872475
