STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,tract,ZIP
52416,385945N1213987W001,09N05E35B001M,SSWD 69,38.5945,-121.399,Sacramento,6067005605,95864
48021,385947N1213985W001,NA,MW12A,38.5947,-121.398,Sacramento,6067005605,95864
48022,385947N1213985W002,NA,MW12B,38.5947,-121.398,Sacramento,6067005605,95864
48023,385947N1213985W003,NA,MW12C,38.5947,-121.398,Sacramento,6067005605,95864
48024,385947N1213985W004,NA,MW12D,38.5947,-121.398,Sacramento,6067005605,95864
48025,385947N1213985W005,NA,MW12E,38.5947,-121.398,Sacramento,6067005605,95864
52241,385963N1214269W001,09N05E34D001M,SAC-158,38.5963,-121.427,Sacramento,6067005402,95815
52236,385966N1214582W001,09N05E32C001M,SAC-139,38.5966,-121.458,Sacramento,6067006900,95815
51643,385969N1214591W001,NA,Well 139,38.5969,-121.459,Sacramento,6067006900,95815
31419,385974N1212706W001,09N06E36C001M,NA,38.5974,-121.271,Sacramento,6067009010,95670
54935,385977N1213111W001,09N06E34C001M,GSW-Agnes Circle #8,38.5977,-121.311,Sacramento,6067008910,95670
52401,385978N1213813W001,09N05E25Q002M,SSWD 20A,38.5978,-121.381,Sacramento,6067005701,95864
52396,385978N1213980W001,09N05E26Q001M,SSWD 3A,38.5978,-121.398,Sacramento,6067005601,95825
52403,385979N1213597W001,09N06E30Q001M,SSWD 25,38.5979,-121.36,Sacramento,6067005801,95864
52400,385980N1213694W001,09N06E30N001M,SSWD 18,38.598,-121.369,Sacramento,6067005701,95864
9659,385981N1211953W001,09N07E27Q001M,NA,38.5981,-121.195,Sacramento,6067008705,95742
52240,385994N1214452W001,09N05E28N002M,SAC-156,38.5994,-121.445,Sacramento,6067005402,95815
54937,385999N1212996W001,09N06E27R001M,GSW-Dolecetto #6,38.5999,-121.3,Sacramento,6067008905,95670
9642,386001N1214167W001,09N05E27Q001M,NA,38.6001,-121.417,Sacramento,6067005502,95815
52407,386005N1213591W001,09N06E30Q002M,SSWD 35,38.6005,-121.359,Sacramento,6067005801,95864
9644,386006N1214473W001,09N05E28N001M,NA,38.6006,-121.447,Sacramento,6067006900,95815
50877,386008N1215488W001,NA,Bryte Bend,38.6008,-121.549,Sacramento,6067007017,95833
9641,386016N1213761W001,09N05E25J001M,DWR_SGA_004,38.6016,-121.376,Sacramento,6067005701,95864
31418,386034N1213540W001,09N06E30J001M,NA,38.6034,-121.354,Sacramento,6067005801,95864
48018,386038N1213882W001,NA,MW11A,38.6038,-121.388,Sacramento,6067005601,95825
48019,386038N1213882W002,NA,MW11B,38.6038,-121.388,Sacramento,6067005601,95825
48020,386038N1213882W003,NA,MW11C,38.6038,-121.388,Sacramento,6067005601,95825
9643,386038N1214357W001,09N05E28K001M,DWR_SGA_005,38.6038,-121.436,Sacramento,6067005502,95815
55102,386046N1214227W001,10N05E36A953M,SSWD 30,38.6046,-121.423,Sacramento,6067005502,95815
52195,386049N1213427W001,09N06E29K001M,CAR-Willow Park,38.6049,-121.343,Sacramento,6067007702,95608
52224,386049N1214389W001,09N05E28L001M,SAC-114,38.6049,-121.439,Sacramento,6067005502,95815
8944,386061N1215313W001,09N04E27F001M,SCWA_SGA_003,38.6061,-121.531,Sacramento,6067007020,95833
52395,386069N1213982W001,NA,SSWD 2A,38.6069,-121.398,Sacramento,6067005601,95825
52223,386072N1214425W001,09N05E28E001M,SAC-112,38.6072,-121.442,Sacramento,6067006900,95815
31414,386077N1214309W001,09N05E28H001M,NA,38.6077,-121.431,Sacramento,6067005502,95815
9646,386078N1212713W001,09N06E25F002M,09N06E25F002M,38.6078,-121.271,Sacramento,6067008908,95670
9647,386081N1212710W001,09N06E25F003M,09N06E25F003M,38.6081,-121.271,Sacramento,6067008908,95670
48028,386083N1213596W001,09N06E30G001M,Well 67,38.6083,-121.36,Sacramento,6067005801,95864
31536,386088N1212569W001,09N07E30F001M,NA,38.6088,-121.257,Sacramento,6067008705,95742
31417,386090N1212922W001,09N06E26C001M,NA,38.609,-121.292,Sacramento,6067008907,95670
52398,386110N1213634W001,09N06E30C001M,SSWD 9,38.611,-121.363,Sacramento,6067005904,95821
52220,386115N1214786W001,09N05E30D001M,SAC-091,38.6115,-121.479,Sacramento,6067007007,95833
9648,386117N1213150W001,09N06E27D001M,SCWA_SGA_004,38.6117,-121.315,Sacramento,6067007802,95608
50871,386121N1215550W001,NA,Perry,38.6121,-121.555,Sacramento,6067007017,95833
52405,386145N1213504W001,09N06E20N002M,SSWD 32A,38.6145,-121.35,Sacramento,6067005903,95608
31412,386151N1214467W001,09N05E21M001M,DWR_SGA_003,38.6151,-121.447,Sacramento,6067006600,95815
55101,386153N1214200W001,10N05E36A952M,SSWD 28,38.6153,-121.42,Sacramento,6067006202,95815
48041,386160N1215054W001,09N04E23R002M,Bannon Creek Park,38.616,-121.505,Sacramento,6067007011,95833
54940,386175N1212654W001,09N06E24J001M,GSW-Coloma #20,38.6175,-121.265,Sacramento,6067008703,95670
52397,386175N1214116W001,NA,SSWD 4B,38.6175,-121.412,Sacramento,6067006201,95821
9657,386176N1212465W001,09N07E19J001M,NA,38.6176,-121.247,Sacramento,6067008703,95670
31535,386176N1212469W001,09N07E19J002M,NA,38.6176,-121.247,Sacramento,6067008703,95670
55104,386176N1214792W001,10N05E36A955M,SAC-092,38.6176,-121.479,Sacramento,6067007007,95833
52409,386178N1214240W001,09N05E22L001M,SSWD 41,38.6178,-121.424,Sacramento,6067006202,95815
